"Event_ID","Name","Categories","Environment","Location","Start_Date","End_Date","Price_Range","Family_Friendly","Description","Categories_list","Year","Month","Day","City_Key","Avg_Max_Temp","Avg_Min_Temp","Temp_max_Category","Temp_min_Category"
"1","Dubai Shopping Festival","Festival, Entertainment","Indoor","Dubai Citywide","2026-12-15","2027-01-30","Free","True","One of the UAE's biggest retail events, the Dubai Shopping Festival transforms malls, souks, and public spaces across the city into a six-week celebration of discounts, raffles, live entertainment, and fireworks, drawing shoppers from across the region.","['Festival', 'Entertainment']","2026","12","15","Dubai","25.17741935483871","17.05483870967742","Normal","Cold"
"2","Global Village","Festival, Cultural, Entertainment","Outdoor","Sheikh Mohammed Bin Zayed Road Dubai","2026-10-15","2027-04-30","Low","True","Global Village is a seasonal outdoor theme park where dozens of country-themed pavilions showcase food, crafts, and performances from more than 90 nations, alongside a funfair, live concerts, and nightly shows, making it a family favorite for over half the year.","['Festival', 'Cultural', 'Entertainment']","2026","10","15","Dubai","29.49413978494624","20.227548825982005","Normal","Normal"
"3","Abu Dhabi Art","Exhibition, Cultural","Indoor","Manarat Al Saadiyat Abu Dhabi","2026-11-18","2026-11-22","Medium","True","Abu Dhabi Art brings together leading international galleries, curators, and artists at Manarat Al Saadiyat for a week of exhibitions, talks, and installations, cementing the capital's growing status as a hub for contemporary and modern art in the region.","['Exhibition', 'Cultural']","2026","11","18","Abu Dhabi","30.51","23.08","Warm","Normal"
"4","Dubai Food Festival","Festival, Cultural","Both","Dubai Citywide","2026-02-20","2027-03-08","Free","True","The Dubai Food Festival turns the entire city into a culinary playground, with restaurant promotions, pop-up night markets, chef showcases, and family-friendly food trails running for weeks across indoor and outdoor venues citywide.","['Festival', 'Cultural']","2026","2","20","Dubai","32.92115975422427","23.282441299100288","Warm","Normal"
"5","Abu Dhabi Grand Prix","Sports, Entertainment","Outdoor","Yas Marina Circuit Abu Dhabi","2026-12-04","2026-12-06","High","True","The Abu Dhabi Grand Prix caps off the Formula 1 season with three days of high-speed racing under the lights at Yas Marina Circuit, paired with a star-studded concert lineup at the adjacent Etihad Park.","['Sports', 'Entertainment']","2026","12","4","Abu Dhabi","26.583870967741937","19.39032258064516","Normal","Cold"
"6","Dubai World Cup","Sports, Entertainment","Outdoor","Meydan Racecourse Dubai","2026-03-28","2026-03-28","Medium","True","The Dubai World Cup is the world's richest horse race, held at the striking Meydan Racecourse, combining elite thoroughbred racing with fashion, entertainment, and a lavish social calendar highlight for the city.","['Sports', 'Entertainment']","2026","3","28","Dubai","29.31290322580645","19.796774193548387","Normal","Cold"
"7","Art Dubai","Exhibition, Cultural","Indoor","Madinat Jumeirah Dubai","2026-03-06","2026-03-09","Medium","True","Art Dubai is the region's flagship contemporary and modern art fair, hosting galleries from the Middle East, Africa, South Asia, and beyond at Madinat Jumeirah, alongside talks, commissions, and a strong focus on emerging artists.","['Exhibition', 'Cultural']","2026","3","6","Dubai","29.31290322580645","19.796774193548387","Normal","Cold"
"8","Dubai Jazz Festival","Concert, Entertainment","Outdoor","Dubai Media City Amphitheatre","2026-02-25","2026-02-27","High","False","The Dubai Jazz Festival brings international jazz, soul, and pop acts to an open-air amphitheatre in Dubai Media City for an evening of live music under the stars, drawing music lovers from across the Gulf.","['Concert', 'Entertainment']","2026","2","25","Dubai","25.475","18.257142857142856","Normal","Cold"
"9","Abu Dhabi Food Festival","Festival, Cultural","Both","Abu Dhabi Citywide","2026-11-05","2026-11-21","Free","True","The Abu Dhabi Food Festival spreads culinary events, tastings, and promotions across the capital for over two weeks, spotlighting Emirati cuisine alongside international flavors through pop-ups, masterclasses, and restaurant collaborations.","['Festival', 'Cultural']","2026","11","5","Abu Dhabi","30.51","23.08","Warm","Normal"
"10","Dubai Fitness Challenge","Sports, Festival","Both","Dubai Citywide","2026-10-30","2026-11-28","Free","True","The Dubai Fitness Challenge is a month-long, citywide push to get residents moving 30 minutes a day, featuring free workout classes, running clubs, outdoor gym setups, and a signature 30x30 fitness village.","['Sports', 'Festival']","2026","10","30","Dubai","32.943118279569894","23.099623655913977","Warm","Normal"
"11","Sharjah Light Festival","Festival, Cultural, Entertainment","Outdoor","Sharjah Heritage Area","2026-02-05","2026-02-15","Free","True","The Sharjah Light Festival illuminates the emirate's heritage buildings, mosques, and public landmarks with elaborate projection-mapped light shows and animations, drawing evening crowds to admire the free outdoor displays.","['Festival', 'Cultural', 'Entertainment']","2026","2","5","Sharjah","25.392857142857142","18.389285714285712","Normal","Cold"
