Event_ID,Name,Categories,Environment,Location,Start_Date,End_Date,Price_Range,Image,Family_Friendly,Description
1,Dubai Shopping Festival,"Festival, Entertainment",Indoor,Dubai Citywide,12/15/2026,1/30/2027,Free,,TRUE,"One of the UAE's biggest retail events, the Dubai Shopping Festival transforms malls, souks, and public spaces across the city into a six-week celebration of discounts, raffles, live entertainment, and fireworks, drawing shoppers from across the region."
2,Global Village,"Festival, Cultural, Entertainment",Outdoor,Sheikh Mohammed Bin Zayed Road Dubai,10/15/2026,4/30/2027,Low,,TRUE,"Global Village is a seasonal outdoor theme park where dozens of country-themed pavilions showcase food, crafts, and performances from more than 90 nations, alongside a funfair, live concerts, and nightly shows, making it a family favorite for over half the year."
3,Abu Dhabi Art,"Exhibition, Cultural",Indoor,Manarat Al Saadiyat Abu Dhabi,11/18/2026,11/22/2026,Medium,,TRUE,"Abu Dhabi Art brings together leading international galleries, curators, and artists at Manarat Al Saadiyat for a week of exhibitions, talks, and installations, cementing the capital's growing status as a hub for contemporary and modern art in the region."
4,Dubai Food Festival,"Festival, Cultural",Both,Dubai Citywide,2/20/2026,3/8/2027,Free,,TRUE,"The Dubai Food Festival turns the entire city into a culinary playground, with restaurant promotions, pop-up night markets, chef showcases, and family-friendly food trails running for weeks across indoor and outdoor venues citywide."
5,Abu Dhabi Grand Prix,"Sports, Entertainment",Outdoor,Yas Marina Circuit Abu Dhabi,12/4/2026,12/6/2026,High,,TRUE,"The Abu Dhabi Grand Prix caps off the Formula 1 season with three days of high-speed racing under the lights at Yas Marina Circuit, paired with a star-studded concert lineup at the adjacent Etihad Park."
6,Dubai World Cup,"Sports, Entertainment",Outdoor,Meydan Racecourse Dubai,3/28/2026,3/28/2026,Medium,,TRUE,"The Dubai World Cup is the world's richest horse race, held at the striking Meydan Racecourse, combining elite thoroughbred racing with fashion, entertainment, and a lavish social calendar highlight for the city."
7,Art Dubai,"Exhibition, Cultural",Indoor,Madinat Jumeirah Dubai,3/6/2026,3/9/2026,Medium,,TRUE,"Art Dubai is the region's flagship contemporary and modern art fair, hosting galleries from the Middle East, Africa, South Asia, and beyond at Madinat Jumeirah, alongside talks, commissions, and a strong focus on emerging artists."
8,Dubai Jazz Festival,"Concert, Entertainment",Outdoor,Dubai Media City Amphitheatre,2/25/2026,2/27/2026,High,,FALSE,"The Dubai Jazz Festival brings international jazz, soul, and pop acts to an open-air amphitheatre in Dubai Media City for an evening of live music under the stars, drawing music lovers from across the Gulf."
9,Abu Dhabi Food Festival,"Festival, Cultural",Both,Abu Dhabi Citywide,11/5/2026,11/21/2026,Free,,TRUE,"The Abu Dhabi Food Festival spreads culinary events, tastings, and promotions across the capital for over two weeks, spotlighting Emirati cuisine alongside international flavors through pop-ups, masterclasses, and restaurant collaborations."
10,Dubai Fitness Challenge,"Sports, Festival",Both,Dubai Citywide,10/30/2026,11/28/2026,Free,,TRUE,"The Dubai Fitness Challenge is a month-long, citywide push to get residents moving 30 minutes a day, featuring free workout classes, running clubs, outdoor gym setups, and a signature 30x30 fitness village."
