restaurant_id,restaurant_name,country_code,city,address,locality,locality_verbose,longitude,latitude,cuisines,average_cost_for_two,currency,has_table_booking,has_online_delivery,is_delivering_now,switch_to_order_menu,price_range,rating,rating_color,rating_text,votes,price_level,rating_score,popularity_score,content,similarity_score
18212135,Denny's,214,Abu Dhabi,"Abu Dhabi Mall, Tourist Club Area (Al Zahiyah), Abu Dhabi","Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah)","Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah), Abu Dhabi",54.38279729,24.49550307,american,190,Emirati Diram(AED),No,No,No,No,4,4.6,Dark Green,Excellent,207,high,0.9199999999999999,0.08247011952191236,denny's abu dhabi american,0.48226997863182836
5704255,Famous Dave's Barbecue,214,Abu Dhabi,"Near The One, Level 3, Abu Dhabi Mall, Tourist Club Area (Al Zahiyah), Abu Dhabi","Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah)","Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah), Abu Dhabi",54.38294616,24.49569253,american,260,Emirati Diram(AED),No,Yes,No,No,4,4.6,Dark Green,Excellent,376,high,0.9199999999999999,0.149800796812749,famous dave's barbecue abu dhabi american,0.3314776951917654
5701978,Pizza Di Rocco,214,Abu Dhabi,"Near Corner of Salam and Al Falah Street (9th Street), Salam Street, Al Dhafrah, Abu Dhabi",Al Dhafrah,"Al Dhafrah, Abu Dhabi",54.38193094,24.48557932,"italian, pizza",150,Emirati Diram(AED),Yes,Yes,No,No,3,4.4,Green,Very Good,471,medium,0.8800000000000001,0.18764940239043826,"pizza di rocco abu dhabi italian, pizza",0.38284177684496523
5701729,Sofra Istanbul,214,Abu Dhabi,"Next to ADNOC Petrol Station, Muroor Road, Al Dhafrah, Abu Dhabi",Al Dhafrah,"Al Dhafrah, Abu Dhabi",54.37127855,24.47756501,"turkish, arabian, middle eastern",70,Emirati Diram(AED),No,No,No,No,2,4.3,Green,Very Good,224,low,0.86,0.08924302788844622,"sofra istanbul abu dhabi turkish, arabian, middle eastern",0.1547762437242
5704168,Salt,214,Abu Dhabi,"Inside Mushrif Park, Al Mushrif, Abu Dhabi",Al Mushrif,"Al Mushrif, Abu Dhabi",54.38080709,24.4543119,"fast food, burger",100,Emirati Diram(AED),No,No,No,No,3,4.2,Green,Very Good,228,medium,0.8400000000000001,0.09083665338645418,"salt abu dhabi fast food, burger",0.2129683033124662
18277098,Genghis Grill,214,Abu Dhabi,"Level 2, Al Wahda Mall New Extension, Al Wahda, Abu Dhabi","Al Wahda Mall, Al Wahda","Al Wahda Mall, Al Wahda, Abu Dhabi",54.37500816,24.47083582,asian,180,Emirati Diram(AED),No,No,No,No,4,4.6,Dark Green,Excellent,81,high,0.9199999999999999,0.03227091633466136,genghis grill abu dhabi asian,0.21001598826160817
5701446,Olive Garden,214,Abu Dhabi,"Level 3, Al Wahda Mall Extension, Al Wahda, Abu Dhabi","Al Wahda Mall, Al Wahda","Al Wahda Mall, Al Wahda, Abu Dhabi",54.37332205,24.46936983,"italian, pizza",230,Emirati Diram(AED),No,No,No,No,4,4.1,Green,Very Good,422,high,0.82,0.16812749003984065,"olive garden abu dhabi italian, pizza",0.47702801052609106
5700052,Cho Gao - Crowne Plaza Abu Dhabi,214,Abu Dhabi,"Crowne Plaza Abu Dhabi, Sheikh Hamdan Bin Mohammed Street, Al Markaziya, Abu Dhabi","Crowne Plaza Abu Dhabi, Al Markaziya","Crowne Plaza Abu Dhabi, Al Markaziya, Abu Dhabi",54.365694,24.491235,"thai, japanese, chinese, indonesian, vietnamese",350,Emirati Diram(AED),Yes,Yes,No,No,4,4.4,Green,Very Good,246,high,0.8800000000000001,0.09800796812749003,"cho gao - crowne plaza abu dhabi abu dhabi thai, japanese, chinese, indonesian, vietnamese",0.22941158349426996
5702418,Gazebo,214,Abu Dhabi,"Ground Level, Next to E-Max, Dalma Mall, Mussafah Sanaiya, Abu Dhabi","Dalma Mall, Mussafah Sanaiya","Dalma Mall, Mussafah Sanaiya, Abu Dhabi",54.52412188,24.33421694,"indian, north indian, mughlai, biryani",120,Emirati Diram(AED),Yes,Yes,No,No,3,4.0,Green,Very Good,355,medium,0.8,0.14143426294820718,"gazebo abu dhabi indian, north indian, mughlai, biryani",0.18133330131429834
5700386,Sangeetha Vegetarian Restaurant,214,Abu Dhabi,"Opposite Cristal Hotel, Behind KM Trading, Electra Street, Madinat Zayed, Abu Dhabi",Madinat Zayed,"Madinat Zayed, Abu Dhabi",54.36377607,24.48525254,"indian, south indian",60,Emirati Diram(AED),No,Yes,No,No,2,3.6,Yellow,Good,268,low,0.72,0.10677290836653386,"sangeetha vegetarian restaurant abu dhabi indian, south indian",0.17208348009172914
5704202,Hot Palayok,214,Abu Dhabi,"Food Court, Level 2, Madinat Zayed Shopping Centre, Madinat Zayed, Abu Dhabi","Madinat Zayed Shopping Centre, Madinat Zayed ","Madinat Zayed Shopping Centre, Madinat Zayed , Abu Dhabi",54.36615754,24.48277094,"filipino, japanese, asian",100,Emirati Diram(AED),No,Yes,No,No,3,4.5,Dark Green,Excellent,162,medium,0.9,0.06454183266932272,"hot palayok abu dhabi filipino, japanese, asian",0.16146034742262486
5701052,Applebee's,214,Abu Dhabi,"Level 3, Mushrif Mall, Al Mushrif, Abu Dhabi","Mushrif Mall, Al Mushrif","Mushrif Mall, Al Mushrif, Abu Dhabi",54.41314146,24.43409939,"american, mexican, seafood",250,Emirati Diram(AED),No,Yes,No,No,4,4.0,Green,Very Good,205,high,0.8,0.08167330677290836,"applebee's abu dhabi american, mexican, seafood",0.3754599473233171
5704118,Tikka Tonight,214,Abu Dhabi,"Behind RAK Bank, Sanaiya ME11, Mussafah Sanaiya, Abu Dhabi",Mussafah Sanaiya,"Mussafah Sanaiya, Abu Dhabi",54.51003961,24.36312973,"pakistani, afghani, indian, hyderabadi",50,Emirati Diram(AED),No,Yes,No,No,2,4.0,Green,Very Good,277,low,0.8,0.11035856573705179,"tikka tonight abu dhabi pakistani, afghani, indian, hyderabadi",0.15874405178300058
5701548,Bait El Khetyar,214,Abu Dhabi,"Al Najda Street, Najda, Abu Dhabi",Najda,"Najda, Abu Dhabi",54.37143378,24.48841145,"lebanese, arabian, middle eastern",70,Emirati Diram(AED),No,Yes,No,No,2,4.0,Green,Very Good,380,low,0.8,0.15139442231075698,"bait el khetyar abu dhabi lebanese, arabian, middle eastern",0.14401769503151385
18235425,Indian By Nature,214,Abu Dhabi,"Shop 2-3, Tolico Building, Behind Lebanese Roastery, Near National Hospital, Najda, Abu Dhabi",Najda,"Najda, Abu Dhabi",54.37324997,24.48959102,indian,80,Emirati Diram(AED),Yes,Yes,No,No,3,4.3,Green,Very Good,180,medium,0.86,0.07171314741035857,indian by nature abu dhabi indian,0.24565311942970403
5702615,Via Delhi,214,Abu Dhabi,"Near First Flight Couriers, Behind ADNOC Head Office, Salam Street, Najda Area, Najda, Abu Dhabi",Najda,"Najda, Abu Dhabi",54.37422059,24.49089202,"indian, north indian, chinese",100,Emirati Diram(AED),No,Yes,No,No,3,4.0,Green,Very Good,525,medium,0.8,0.20916334661354583,"via delhi abu dhabi indian, north indian, chinese",0.20892244644049776
5703500,Punjab Grill,214,Abu Dhabi,"Venetian Village, Ritz Carlton Abu Dhabi, Grand Canal, Al Maqtaa, Abu Dhabi","Venetian Village, Al Maqtaa","Venetian Village, Al Maqtaa, Abu Dhabi",54.4872137,24.4106148,"indian, north indian",330,Emirati Diram(AED),Yes,No,No,No,4,4.9,Dark Green,Excellent,216,high,0.9800000000000001,0.08605577689243028,"punjab grill abu dhabi indian, north indian",0.1953271519679701
18253896,Tamba,214,Abu Dhabi,"6th Floor, World Trade Centre Mall, Al Markaziya, Abu Dhabi","World Trade Center Mall, Al Markaziya","World Trade Center Mall, Al Markaziya, Abu Dhabi",54.358147,24.488161,indian,500,Emirati Diram(AED),Yes,No,No,No,4,4.7,Dark Green,Excellent,201,high,0.9400000000000001,0.0800796812749004,tamba abu dhabi indian,0.28172534237002383
5701917,P.F. Chang's,214,Abu Dhabi,"Level 1, World Trade Center Mall, Central Market, Al Markaziya, Abu Dhabi","World Trade Center Mall, Al Markaziya","World Trade Center Mall, Al Markaziya, Abu Dhabi",54.35782894,24.48761082,chinese,250,Emirati Diram(AED),No,No,No,No,4,4.2,Green,Very Good,435,high,0.8400000000000001,0.17330677290836655,p.f. chang's abu dhabi chinese,0.2631134539189185
5702574,The Cheesecake Factory,214,Abu Dhabi,"Level 1, Yas Mall, Yas Leisure Dr, Yas Island, Abu Dhabi","Yas Mall, Yas Island","Yas Mall, Yas Island, Abu Dhabi",54.60685361,24.49053138,"american, desserts",200,Emirati Diram(AED),No,No,No,No,4,4.6,Dark Green,Excellent,586,high,0.9199999999999999,0.23346613545816733,"the cheesecake factory abu dhabi american, desserts",0.3635559070931381
202321,The Farm,214,Dubai,"Al Barari Villas, Opposite Falcon City, Al Barari, Dubai",Al Barari,"Al Barari, Dubai",55.310519,25.095044,"mediterranean, italian, thai, european",280,Emirati Diram(AED),Yes,No,No,No,3,3.9,Yellow,Good,927,medium,0.78,0.36932270916334664,"the farm dubai mediterranean, italian, thai, european",0.2692685716558158
206488,Maharaja Bhog,214,Dubai,"Ground Level, Hamsah Mall, Next to Ansar Gallery, Al Karama, Dubai",Al Karama,"Al Karama, Dubai",55.30919038,25.25124063,"indian, rajasthani",90,Emirati Diram(AED),Yes,Yes,No,No,2,4.1,Green,Very Good,1448,low,0.82,0.5768924302788845,"maharaja bhog dubai indian, rajasthani",0.0
209654,Rasoi Ghar,214,Dubai,"Zainal Mohebi Plaza, Sheikh Khalifa Bin Zayed Road, Opposite Centrepoint, Al Karama, Dubai",Al Karama,"Al Karama, Dubai",55.3019169,25.25007862,indian,90,Emirati Diram(AED),Yes,Yes,No,No,2,4.3,Green,Very Good,1281,low,0.86,0.5103585657370517,rasoi ghar dubai indian,0.0
18340881,Barbeque Nation,214,Dubai,"G1, Villa, Near HQ Fitness, Near Lulu Mall, Barsha 2, Dubai",Barsha 2,"Barsha 2, Dubai",55.215341,25.11338,"indian, north indian",150,Emirati Diram(AED),Yes,No,No,No,3,4.5,Dark Green,Excellent,307,medium,0.9,0.12231075697211155,"barbeque nation dubai indian, north indian",0.0
18233284,Farzi Cafe,214,Dubai,"CITY WALK, Al Safa & Al Wasl Road Intersection, Al Safa, Dubai","CITY WALK, Al Safa","CITY WALK, Al Safa, Dubai",55.26191946,25.2080323,"international, indian",200,Emirati Diram(AED),Yes,No,No,No,3,4.5,Dark Green,Excellent,909,medium,0.9,0.36215139442231076,"farzi cafe dubai international, indian",0.0
18269368,AB's Absolute Barbecues,214,Dubai,"Mezzanaine Floor, Centurion Star Tower, Deira City Centre Area, Dubai",Deira City Centre Area,"Deira City Centre Area, Dubai",55.32874,25.254105,"continental, indian",160,Emirati Diram(AED),Yes,No,No,No,3,4.9,Dark Green,Excellent,641,medium,0.9800000000000001,0.2553784860557769,"ab's absolute barbecues dubai continental, indian",0.0
18254160,Carnival By Tresind,214,Dubai,"Podium Level, Burj Daman, DIFC, Dubai",DIFC,"DIFC, Dubai",55.281966,25.211183,indian,500,Emirati Diram(AED),Yes,No,No,No,4,4.9,Dark Green,Excellent,322,high,0.9800000000000001,0.12828685258964143,carnival by tresind dubai indian,0.0
208939,AB's Absolute Barbecues,214,Dubai,"Shop G05, Sidra Tower, Near GEMS Wellington School, Exit 36, Sheikh Zayed Road, Dubai Media City, Dubai",Dubai Media City,"Dubai Media City, Dubai",55.17874617,25.10777315,"indian, continental",160,Emirati Diram(AED),Yes,No,No,No,3,4.8,Dark Green,Excellent,2510,medium,0.96,1.0,"ab's absolute barbecues dubai indian, continental",0.0
201531,Hard Rock Cafe,214,Dubai,"Next to Marks & Spencer's, Festival City, Dubai",Festival City,"Festival City, Dubai",55.35147775,25.22399154,"american, burger",300,Emirati Diram(AED),No,No,No,No,4,4.5,Dark Green,Excellent,1388,high,0.9,0.552988047808765,"hard rock cafe dubai american, burger",0.15289470013742384
